"Path","Title","Description","Keywords","Robots"
"404.html","ページが見つかりません (404) | IGRS.online","お探しのページは見つかりませんでした。URLが変更されたか、削除された可能性があります。トップページよりお探しください。IGRS.online","","noindex,follow"
"anshin-pack.html","リダイレクト中｜IGRS","","","noindex, nofollow"
"blog-data-verification-guide.html","フィリピン書類取得代行 | 人材書類照合・PSA・NBI | IGRS.online","フィリピン書類取得代行に伴うデータ整合性チェック。PSA出生証明書、NBI、パスポートの照合ポイントと不整合パターンの対処法を解説。IGRS.online","フィリピン人材, PSA, NBI, パスポート, 書類確認, データ整合性, 特定技能","index,follow"
"blog-granway-compliance.html","フィリピン書類取得代行 | 登録支援機関許可取消・法令順守 | IGRS.online","フィリピン書類取得代行。登録支援機関の許可取り消し（グランウェイ事件）事例から学ぶコンプライアンス。適切な書類管理と法令遵守のポイントを解説。IGRS.online","登録支援機関, 特定技能, コンプライアンス, フィリピン人材, 入管法, 許可取消","index,follow"
"blog-nbi-hit-guide.html","フィリピン書類取得代行 | NBI HIT解決・最短取得 | IGRS.online","フィリピン書類取得代行。NBIクリアランスの「HIT」発生時の対処法と最短で解決する手続きを解説。フィリピン現地からの実践的アドバイス。IGRS.online","NBI, NBI Clearance, HIT, 無犯罪証明書, フィリピン, 犯罪歴照会, HIT解決","index,follow"
"blog-philippines-documents-complexity.html","フィリピン書類取得代行 | 取得遅延の理由・現地事情 | IGRS.online","フィリピン書類取得代行が複雑で時間がかかる理由を徹底解説。PSA、NBI、DFAなどの行政システムの実態と、スムーズに取得するための対策をご紹介。IGRS.online","フィリピン, 公的書類, PSA, NBI, DFA, アポスティーユ, 書類取得, 遅延理由","index,follow"
"blog-philippines-japan-international-marriage-documents-2026.html","フィリピン書類取得代行 | 国際結婚手続き2026・必要書類 | IGRS.online","フィリピン書類取得代行。2026年最新版：フィリピン人と日本人の国際結婚手続き完全ガイド。必要書類、役所での不受理を避ける最短ルートを解説。IGRS.online","フィリピン国際結婚, 必要書類, 2026年版, PSA, CENOMAR, LCCM, アポスティーユ","index,follow"
"blog.html","フィリピン手続き解説ブログ | PSA・ビザ・公証情報 | IGRS.online","フィリピン公的書類取得・国際結婚・ビザ申請に関する最新手続き情報を現地セブ島から発信。PSA、DFA、LTO、入国管理局の公的手続き解説。IGRS.online","フィリピンブログ, PSA情報, ビザ申請情報, アポスティーユ, 国際結婚手続き, セブ島情報","index,follow"
"business.html","フィリピン書類取得代行 | 法人・行政書士向けプラン | IGRS.online","フィリピン書類取得代行BPO。株式会社IGRSが、行政書士・登録支援機関・法人様向けに確実・スムーズな書類収集をサポート。IGRS.online","フィリピン書類取得代行, BPO, 行政書士, 登録支援機関, 法人向け, 請求書払い, 案件管理","index,follow"
"cenomar.html","フィリピン書類取得代行 | CENOMAR・独身証明書 | IGRS.online","フィリピン書類取得代行。CENOMAR（独身証明書）の取得代行サービス。国際結婚や配偶者ビザ申請に必要な「婚姻記録不在証明書」をDFAアポスティーユ付きで取得。IGRS.online","CENOMAR, 独身証明書, 婚姻要件具備証明書, フィリピン結婚, アポスティーユ","index,follow"
"company.html","フィリピン書類取得代行 | 会社概要・IGRS | IGRS.online","フィリピン書類取得代行を行う株式会社IGRSの会社概要。和歌山とセブを拠点に、公的書類取得代行・アポスティーユ認証を提供。IGRS.online","会社概要, IGRS, フィリピン書類取得代行, セブ島, 日本法人, BPO","index,follow"
"contact.html","フィリピン書類取得代行 | お問い合わせ・無料相談 | IGRS.online","フィリピン書類取得代行のお問い合わせ。PSA、NBI、LTO、アポスティーユの取得・翻訳を日本人スタッフが迅速に対応。IGRS.online","フィリピン書類取得代行, お問い合わせ, 見積もり, 相談, PSA, アポスティーユ, NBI","index,follow"
"dfa-apostille.html","フィリピン書類取得代行 | DFAアポスティーユ・外務省認証 | IGRS.online","フィリピン書類取得代行。外務省（DFA）のアポスティーユ（Apostille）認証代行。Red Ribbon（赤いリボン）に代わる最新の公印証明を取得。IGRS.online","アポスティーユ, DFA, 外務省認証, 公印確認, Red Ribbon, フィリピン書類","index,follow"
"gaimen-kirikae.html","フィリピン書類取得代行 | 外免切替・LTO・アポスティーユ | IGRS.online","フィリピン書類取得代行。日本での外免切替に必要なLTO運転経歴証明書、DFAアポスティーユ認証、日本語翻訳を一括手配。免許センター提出用の書類を整備します。IGRS.online","フィリピン書類取得代行, 外免切替, LTO, アポスティーユ, 日本語翻訳","index,follow"
"gyoseishoshi.html","フィリピン書類取得代行 | 行政書士向けBPO・職務代行 | IGRS.online","フィリピン書類取得代行。行政書士様向けBPOサービス。PSA、NBI、アポスティーユ取得から不備対応まで現地法人が黒子として完遂。IGRS.online","フィリピン書類取得代行, 行政書士, BPO, 職務代行, PSA, アポスティーユ","index,follow"
"haigusha-visa.html","フィリピン書類取得代行 | 配偶者ビザ・PSA・翻訳 | IGRS.online","フィリピン書類取得代行。配偶者ビザ申請に必要なPSA出生証明書・結婚証明書・NBIの取得、翻訳、アポスティーユ認証を支援。入管局提出用書類を完備。IGRS.online","フィリピン書類取得代行, 配偶者ビザ, 在留資格, PSA, NBI, アポスティーユ","index,follow"
"index.html","フィリピン書類取得代行 | PSA・CENOMAR・アポスティーユ | IGRS.online","フィリピン書類取得代行。PSA出生証明書、独身証明書、無犯罪証明書、アポスティーユの取得代行。国際結婚・ビザ申請を支援。IGRS.online","フィリピン書類取得代行, PSA出生証明書, CENOMAR, NBI無犯罪証明書, DFAアポスティーユ, 国際結婚, 配偶者ビザ, 外免切替","index,follow"
"kika-shinsei.html","フィリピン書類取得代行 | 帰化申請書類・PSA・NBI | IGRS.online","フィリピン書類取得代行。帰化申請に必要な書類（PSA出生証明書、婚姻証明書、NBI、LTO運転経歴）の取得からアポスティーユ認証、日本語翻訳まで完全代行。IGRS.online","帰化申請, フィリピン人帰化, 必要書類, 帰化許可, アポスティーユ, 翻訳","index,follow"
"kika_v2.html","帰化申請フィリピン書類代行 | 最新PSA・NBI・翻訳セット | IGRS.online","帰化申請（日本国籍取得）のフィリピン書類取得パッケージ。PSA出生証明書、NBI、DFAアポスティーユ、日本語翻訳をセットで提供。法務局提出用書類を完備。IGRS.online","帰化申請, フィリピン書類, ワンストップ, セット料金, 日本国籍取得","index,follow"
"kika_v2_backup.html","フィリピン帰化書類取得代行 | IGRS.online","","","noindex,nofollow"
"kokusai-kekkon.html","フィリピン書類取得代行 | 国際結婚手続き・必要書類 | IGRS.online","フィリピン書類取得代行。国際結婚・配偶者ビザ申請に必要な公的書類（PSA出生証明書・CENOMAR・結婚証明書）の取得代行とアポスティーユ認証を一括サポート。IGRS.online","フィリピン国際結婚, 配偶者ビザ, 必要書類, 結婚手続き, PSA, CENOMAR","index,follow"
"lto-drivers-license.html","フィリピン書類取得代行 | LTO運転経歴証明書・外免切替 | IGRS.online","フィリピン書類取得代行。外免切替用LTO運転経歴証明書（Transaction History）の取得とDFAアポスティーユ認証。LTO発行の正規書類を取得。IGRS.online","フィリピン書類取得代行, LTO, 外免切替, アポスティーユ, 運転経歴証明書","index,follow"
"lto-transaction-history.html","フィリピン書類取得代行 | LTO運転経歴・Transaction History | IGRS.online","フィリピン書類取得代行。LTO運転経歴証明書（Transaction History）取得とDFAアポスティーユ認証。外免切替を強力支援。IGRS.online","フィリピン書類取得代行, LTO, Transaction History, 外免切替, アポスティーユ","index,follow"
"marriage-certificate.html","フィリピン書類取得代行 | PSA結婚証明書・アポスティーユ | IGRS.online","フィリピン書類取得代行。PSA発行の結婚証明書（Marriage Certificate）取得。配偶者ビザや婚姻届に必要な認証・翻訳に対応。IGRS.online","フィリピン書類取得代行, PSA結婚証明書, アポスティーユ, 結婚証明書, 配偶者ビザ","index,follow"
"nbi-clearance.html","フィリピン書類取得代行 | NBIクリアランス・無犯罪証明書 | IGRS.online","フィリピン書類取得代行。NBIクリアランス（無犯罪証明書）の取得代行。就労ビザ・特定技能・永住申請に対応。同姓同名HIT時の追加手続きも完全サポート。IGRS.online","NBIクリアランス, 無犯罪証明書, 警察証明, フィリピン, 特定技能, HIT","index,follow"
"personal.html","フィリピン書類取得代行 | 個人向け料金プラン | IGRS.online","フィリピン書類取得代行。PSA出生証明書・結婚証明書・CENOMAR・NBI・LTO・アポスティーユの取得代行・個人向け料金について。IGRS.online","フィリピン書類取得代行, 個人向け, 料金, PSA, NBI, アポスティーユ, 国際結婚","index,follow"
"philippine-marriage-doc-cost-comparison-original.html","【2026年試算】フィリピン書類取得、自分で渡航vs代行どっちが得？9万円の「婚姻セット」が選ばれる理由｜IGRS","PSA出生証明書・CENOMAR・アポスティーユ認証。自分でフィリピンに行って取得すると総額15万円以上かかります。IGRSの取得代行・翻訳セットなら、渡航なしで約9万円。コストと手間を徹底比較します。","フィリピン国際結婚, 必要書類, アポスティーユ, 費用, 代行, IGRS, 料金",""
"philippine-marriage-doc-cost-comparison.html","【2026年試算】フィリピン書類取得、自分で渡航vs代行どっちが得？9万円の「婚姻セット」が選ばれる理由｜IGRS","PSA出生証明書・CENOMAR・アポスティーユ認証。自分でフィリピンに行って取得すると総額15万円以上かかります。IGRSの取得代行・翻訳セットなら、渡航なしで約9万円。コストと手間を徹底比較します。","フィリピン国際結婚, 必要書類, アポスティーユ, 費用, 代行, IGRS, 料金",""
"premium-package.html","リダイレクト中｜IGRS","","","noindex, nofollow"
"privacy.html","フィリピン書類取得代行 | プライバシーポリシー | IGRS.online","フィリピン書類取得代行に関するプライバシーポリシー。お客様の個人情報を適切に管理・保護し、業務遂行のみに使用します。IGRS.online","プライバシーポリシー, 個人情報保護方針, IGRS, フィリピン書類取得代行, 管理","index,follow"
"psa-birth-certificate.html","フィリピン書類取得代行 | PSA出生証明書・翻訳・認証 | IGRS.online","フィリピン書類取得代行。PSA出生証明書（Birth Certificate）の取得、DFAアポスティーユ認証、日本語翻訳を一括サポート。IGRS.online","フィリピン書類取得代行, PSA出生証明書, アポスティーユ, 翻訳, 公的書類","index,follow"
"thank-you.html","フィリピン書類取得代行 | お問い合わせ送信完了 | IGRS.online","フィリピン書類取得代行のお問い合わせありがとうございます。担当者より折り返しご連絡いたします。IGRS.online","","noindex,follow"
"track.html","フィリピン書類取得代行 | 進捗確認 (Track Status) | IGRS.online","フィリピン書類取得代行の進捗確認。追跡番号を入力して、現在のステータスをリアルタイムで照会できます。IGRS.online","フィリピン書類取得代行, 進捗確認, トラッキング, ステータス","index,follow"
"translation.html","フィリピン書類取得代行 | 翻訳サービス・PSA・LTO | IGRS.online","フィリピン書類取得代行に伴う翻訳サービス。PSA、LTO、NBI等の日本語・英語翻訳。入管・役所提出用の署名付きで作成します。IGRS.online","フィリピン書類取得代行, 翻訳サービス, 日本語翻訳, 英語翻訳, PSA, アポスティーユ","index,follow"
"personal\index.html","個人のお客様 料金・プラン｜フィリピン書類取得代行センター","個人のお客様向けページです。フィリピン人との国際結婚、子供の認知、配偶者ビザ申請、永住権手続きなどで必要となるフィリピン側書類の収集・認証・翻訳をトータルサポートします。","",""
